Date,Number of Fixed Bugs
2018-06-01,40
2019-08-01,45
2019-06-01,50
2019-04-01,55
2019-02-01,44
2018-12-01,33
2018-10-01,43
2018-08-01,74
2018-04-01,67
2018-02-01,62
2017-12-01,47
2017-10-01,96
2017-08-01,61
2017-06-01,44
2017-04-01,42
2017-02-01,35
2016-12-01,59
2016-10-01,45
2016-08-01,46
2016-06-01,42
2016-04-01,61
2016-02-01,47
2019-10-01,62
2019-12-01,52
2020-02-01,37
2020-04-01,48
2020-06-01,6
2020-08-01,8
2020-10-01,11
2015-08-01,2
2015-10-01,2
2018-07-01,48
2018-11-01,57
2019-07-01,34
2019-11-01,57
2019-05-01,44
2019-03-01,46
2019-01-01,43
2018-09-01,38
2018-05-01,45
2018-03-01,73
2018-01-01,83
2017-11-01,34
2017-09-01,55
2017-07-01,52
2017-05-01,77
2017-03-01,56
2017-01-01,38
2016-11-01,48
2016-09-01,51
2016-07-01,65
2016-05-01,82
2016-03-01,72
2016-01-01,4
2019-09-01,39
2020-01-01,43
2020-03-01,37
2020-05-01,5
2020-09-01,9
2020-07-01,6
2015-09-01,1
2015-11-01,1
